Symbol,Trade DATE,NOCP
DOCU,4/27/18,39.73
DOCU,4/30/18,38.63
DOCU,5/1/18,39.45
DOCU,5/2/18,39.32
DOCU,5/3/18,41.96
DOCU,5/4/18,41.09
DOCU,5/7/18,41.31
DOCU,5/8/18,43.22
DOCU,5/9/18,44.1
DOCU,5/10/18,44.01
DOCU,5/11/18,44.37
DOCU,5/14/18,44.19
DOCU,5/15/18,45.46
DOCU,5/16/18,45.23
DOCU,5/17/18,44.9
DOCU,5/18/18,44.78
DOCU,5/21/18,42.98
DOCU,5/22/18,43.05
DOCU,5/23/18,45.42
DOCU,5/24/18,46.8
DOCU,5/25/18,46.37
DOCU,5/29/18,48.43
DOCU,5/30/18,49.99
DOCU,5/31/18,49.81
DOCU,6/1/18,50.12
DOCU,6/4/18,53.65
DOCU,6/5/18,54.59
DOCU,6/6/18,57.36
DOCU,6/7/18,55.99
DOCU,6/8/18,57.92
DOCU,6/11/18,59.54
DOCU,6/12/18,61.82
DOCU,6/13/18,63.77
DOCU,6/14/18,63.53
DOCU,6/15/18,63.95
DOCU,6/18/18,63.9
DOCU,6/19/18,63.87
DOCU,6/20/18,62.46
DOCU,6/21/18,57.59
DOCU,6/22/18,57.55
DOCU,6/25/18,55
DOCU,6/26/18,56.47
DOCU,6/27/18,51.77
DOCU,6/28/18,53.04
DOCU,6/29/18,52.95
DOCU,7/2/18,52.34
DOCU,7/3/18,51.97
DOCU,7/5/18,54.62
DOCU,7/6/18,54.95
DOCU,7/9/18,55.35
DOCU,7/10/18,52.37
DOCU,7/11/18,51.98
DOCU,7/12/18,55.37
DOCU,7/13/18,55.33
DOCU,7/16/18,55.05
DOCU,7/17/18,54.09
DOCU,7/18/18,53.05
DOCU,7/19/18,52.36
DOCU,7/20/18,52.21
DOCU,7/23/18,55.53
DOCU,7/24/18,53.79
DOCU,7/25/18,54.69
DOCU,7/26/18,55.51
DOCU,7/27/18,54.82
DOCU,7/30/18,51.71
DOCU,7/31/18,53.9
DOCU,8/1/18,55.75
DOCU,8/2/18,58.91
DOCU,8/3/18,57.01
DOCU,8/6/18,60
DOCU,8/7/18,59.89
DOCU,8/8/18,61.35
DOCU,8/9/18,60.45
DOCU,8/10/18,58.2
DOCU,8/13/18,56.14
DOCU,8/14/18,57.85
DOCU,8/15/18,56.15
DOCU,8/16/18,57.69
DOCU,8/17/18,58.68
DOCU,8/20/18,61.22
DOCU,8/21/18,62.5
DOCU,8/22/18,61.84
DOCU,8/23/18,63.9
DOCU,8/24/18,65.54
DOCU,8/27/18,65.53
DOCU,8/28/18,66.3
DOCU,8/29/18,67.87
DOCU,8/30/18,65
DOCU,8/31/18,62.44
DOCU,9/4/18,64.85
DOCU,9/5/18,63.1
DOCU,9/6/18,57.85
DOCU,9/7/18,56.94
DOCU,9/10/18,53.93
DOCU,9/11/18,53.96
DOCU,9/12/18,57.18
DOCU,9/13/18,55.37
DOCU,9/14/18,53.79
DOCU,9/17/18,52.18
DOCU,9/18/18,53.03
DOCU,9/19/18,51.73
DOCU,9/20/18,52.23
DOCU,9/21/18,52.54
DOCU,9/24/18,51.83
