Symbol,Trade DATE,NOCP
SHOP,7/1/19,304.68
SHOP,7/2/19,311.96
SHOP,7/3/19,313.33
SHOP,7/5/19,313.72
SHOP,7/8/19,321
SHOP,7/9/19,321.98
SHOP,7/10/19,319.01
SHOP,7/11/19,315
SHOP,7/12/19,310.02
SHOP,7/15/19,324.02
SHOP,7/16/19,317.39
SHOP,7/17/19,325.32
SHOP,7/18/19,331.15
SHOP,7/19/19,330
SHOP,7/22/19,335.24
SHOP,7/23/19,330.22
SHOP,7/24/19,329.57
SHOP,7/25/19,333.34
SHOP,7/26/19,336.54
SHOP,7/29/19,319.71
SHOP,7/30/19,314.3
SHOP,7/31/19,317.88
SHOP,8/1/19,341.39
SHOP,8/2/19,332.19
SHOP,8/5/19,321.39
SHOP,8/6/19,332.67
SHOP,8/7/19,341.31
SHOP,8/8/19,357.81
SHOP,8/9/19,369.95
SHOP,8/12/19,366.73
SHOP,8/13/19,369.23
SHOP,8/14/19,352.8
SHOP,8/15/19,351.07
SHOP,8/16/19,358.74
SHOP,8/19/19,361.83
SHOP,8/20/19,374.97
SHOP,8/21/19,389.83
SHOP,8/22/19,388.54
SHOP,8/23/19,382.75
SHOP,8/26/19,395.96
SHOP,8/27/19,406.99
SHOP,8/28/19,394.8
SHOP,8/29/19,391.71
SHOP,8/30/19,385.39
SHOP,9/3/19,383.91
SHOP,9/4/19,386.49
SHOP,9/5/19,392.72
SHOP,9/6/19,380.42
SHOP,9/9/19,358.67
SHOP,9/10/19,337.24
SHOP,9/11/19,347.51
SHOP,9/12/19,356.63
SHOP,9/13/19,338.31
SHOP,9/16/19,337.93
SHOP,9/17/19,328.82
SHOP,9/18/19,325.85
SHOP,9/19/19,325
SHOP,9/20/19,318.82
SHOP,9/23/19,313.26
SHOP,9/24/19,295.47
SHOP,9/25/19,314.6
SHOP,9/26/19,313.14
SHOP,9/27/19,305.69
SHOP,9/30/19,311.66
SHOP,10/1/19,313.22
SHOP,10/2/19,310.36
SHOP,10/3/19,325.57
SHOP,10/4/19,327.2
SHOP,10/7/19,326.32
SHOP,10/8/19,311.05
SHOP,10/9/19,313.85
SHOP,10/10/19,324.47
SHOP,10/11/19,329.26
SHOP,10/14/19,344.3
SHOP,10/15/19,346.08
SHOP,10/16/19,323.64
SHOP,10/17/19,331.34
SHOP,10/18/19,314.34
SHOP,10/21/19,319.73
SHOP,10/22/19,299.69
SHOP,10/23/19,297.14
SHOP,10/24/19,323.34
SHOP,10/25/19,317.45
SHOP,10/28/19,324.93
SHOP,10/29/19,312.52
SHOP,10/30/19,319.12
SHOP,10/31/19,313.57
SHOP,11/1/19,316.76
SHOP,11/4/19,307.91
SHOP,11/5/19,295.5
SHOP,11/6/19,295.02
SHOP,11/7/19,295.02
SHOP,11/8/19,297.64
SHOP,11/11/19,303.32
SHOP,11/12/19,305.56
SHOP,11/13/19,314.31
SHOP,11/14/19,312.45
SHOP,11/15/19,312.38
SHOP,11/18/19,322.98
SHOP,11/19/19,316.28
SHOP,11/20/19,317.05
SHOP,11/21/19,316.07
SHOP,11/22/19,314.52
SHOP,11/25/19,317.07
SHOP,11/26/19,336.19
SHOP,11/27/19,341
SHOP,11/29/19,336.75
SHOP,12/2/19,330.84
SHOP,12/3/19,350.66
SHOP,12/4/19,372
SHOP,12/5/19,363.59
SHOP,12/6/19,364.6
SHOP,12/9/19,369.79
SHOP,12/10/19,368
SHOP,12/11/19,373.08
SHOP,12/12/19,372.05
SHOP,12/13/19,385.57
SHOP,12/16/19,393.63
SHOP,12/17/19,387.95
SHOP,12/18/19,396.94
SHOP,12/19/19,393.06
SHOP,12/20/19,390.07
SHOP,12/23/19,389.13
SHOP,12/24/19,399.39
SHOP,12/26/19,408.75
SHOP,12/27/19,408
SHOP,12/30/19,396.36
SHOP,12/31/19,397.58
SHOP,1/2/20,407.81
SHOP,1/3/20,404.29
SHOP,1/6/20,413.33
SHOP,1/7/20,414.5
SHOP,1/8/20,418.1
SHOP,1/9/20,430.2
SHOP,1/10/20,429.17
SHOP,1/13/20,440.25
SHOP,1/14/20,441.22
SHOP,1/15/20,448.51
SHOP,1/16/20,451.3
SHOP,1/17/20,454.88
SHOP,1/21/20,465.44
SHOP,1/22/20,464.76
