Symbol,Trade DATE,NOCP
TSLA,3/2/15,197.33
TSLA,3/3/15,199.56
TSLA,3/4/15,202.44
TSLA,3/5/15,200.63
TSLA,3/6/15,193.88
TSLA,3/9/15,190.88
TSLA,3/10/15,190.32
TSLA,3/11/15,193.74
TSLA,3/12/15,191.07
TSLA,3/13/15,188.68
TSLA,3/16/15,195.7
TSLA,3/17/15,194.73
TSLA,3/18/15,200.71
TSLA,3/19/15,195.65
TSLA,3/20/15,198.08
TSLA,3/23/15,199.63
TSLA,3/24/15,201.72
TSLA,3/25/15,194.3
TSLA,3/26/15,190.41
TSLA,3/27/15,185
TSLA,3/30/15,190.57
TSLA,3/31/15,188.77
TSLA,4/1/15,187.59
TSLA,4/2/15,191
TSLA,4/6/15,203.1
TSLA,4/7/15,203.25
TSLA,4/8/15,207.67
TSLA,4/9/15,210.09
TSLA,4/10/15,210.9
TSLA,4/13/15,209.78
TSLA,4/14/15,207.46
TSLA,4/15/15,207.83
TSLA,4/16/15,206.7
TSLA,4/17/15,206.79
TSLA,4/20/15,205.27
TSLA,4/21/15,209.41
TSLA,4/22/15,219.44
TSLA,4/23/15,218.6
TSLA,4/24/15,218.43
TSLA,4/27/15,231.55
TSLA,4/28/15,230.48
TSLA,4/29/15,232.45
TSLA,4/30/15,226.05
TSLA,5/1/15,226.03
TSLA,5/4/15,230.51
TSLA,5/5/15,232.95
TSLA,5/6/15,230.43
TSLA,5/7/15,236.8
TSLA,5/8/15,236.61
TSLA,5/11/15,239.49
TSLA,5/12/15,244.74
TSLA,5/13/15,243.18
TSLA,5/14/15,244.1
TSLA,5/15/15,248.84
TSLA,5/18/15,248.75
TSLA,5/19/15,247.14
TSLA,5/20/15,244.35
TSLA,5/21/15,245.62
TSLA,5/22/15,247.73
TSLA,5/26/15,247.46
TSLA,5/27/15,247.43
TSLA,5/28/15,251.45
TSLA,5/29/15,250.8
TSLA,6/1/15,249.45
TSLA,6/2/15,248.35
TSLA,6/3/15,248.99
TSLA,6/4/15,245.92
TSLA,6/5/15,249.14
TSLA,6/8/15,256.29
TSLA,6/9/15,256
TSLA,6/10/15,250.7
TSLA,6/11/15,251.41
TSLA,6/12/15,250.69
TSLA,6/15/15,250.38
TSLA,6/16/15,253.12
TSLA,6/17/15,260.41
TSLA,6/18/15,261.89
TSLA,6/19/15,262.51
TSLA,6/22/15,259.79
TSLA,6/23/15,267.67
TSLA,6/24/15,265.17
TSLA,6/25/15,268.79
TSLA,6/26/15,267.09
TSLA,6/29/15,262.02
TSLA,6/30/15,268.26
TSLA,7/1/15,269.15
TSLA,7/2/15,280.02
TSLA,7/6/15,279.72
TSLA,7/7/15,267.88
TSLA,7/8/15,254.96
TSLA,7/9/15,257.92
TSLA,7/10/15,259.15
TSLA,7/13/15,262.16
TSLA,7/14/15,265.65
TSLA,7/15/15,263.14
TSLA,7/16/15,266.68
TSLA,7/17/15,274.66
TSLA,7/20/15,282.26
TSLA,7/21/15,266.77
TSLA,7/22/15,267.87
TSLA,7/23/15,267.2
TSLA,7/24/15,265.41
TSLA,7/27/15,253.01
TSLA,7/28/15,264.82
TSLA,7/29/15,263.82
TSLA,7/30/15,266.79
TSLA,7/31/15,266.15
TSLA,8/3/15,259.99
TSLA,8/4/15,266.28
TSLA,8/5/15,270.13
TSLA,8/6/15,246.13
TSLA,8/7/15,242.51
TSLA,8/10/15,241.14
TSLA,8/11/15,237.37
TSLA,8/12/15,238.17
TSLA,8/13/15,242.51
TSLA,8/14/15,243.15
TSLA,8/17/15,254.99
TSLA,8/18/15,260.72
TSLA,8/19/15,255.25
TSLA,8/20/15,242.18
TSLA,8/21/15,230.77
TSLA,8/24/15,218.87
TSLA,8/25/15,220.03
TSLA,8/26/15,224.84
TSLA,8/27/15,242.99
TSLA,8/28/15,248.48
TSLA,8/31/15,249.06
TSLA,9/1/15,238.63
TSLA,9/2/15,247.69
TSLA,9/3/15,245.57
TSLA,9/4/15,241.93
TSLA,9/8/15,248.17
TSLA,9/9/15,248.91
TSLA,9/10/15,248.48
TSLA,9/11/15,250.24
TSLA,9/14/15,253.19
TSLA,9/15/15,253.57
TSLA,9/16/15,262.25
TSLA,9/17/15,262.07
TSLA,9/18/15,260.62
TSLA,9/21/15,264.2
TSLA,9/22/15,260.94
TSLA,9/23/15,261.06
TSLA,9/24/15,263.12
TSLA,9/25/15,256.91
TSLA,9/28/15,248.43
TSLA,9/29/15,246.65
TSLA,9/30/15,248.4
TSLA,10/1/15,239.88
TSLA,10/2/15,247.57
TSLA,10/5/15,246.15
TSLA,10/6/15,241.46
TSLA,10/7/15,231.96
TSLA,10/8/15,226.72
TSLA,10/9/15,220.69
TSLA,10/12/15,215.58
TSLA,10/13/15,219.25
TSLA,10/14/15,216.88
TSLA,10/15/15,221.31
TSLA,10/16/15,227.01
TSLA,10/19/15,228.1
TSLA,10/20/15,213.03
TSLA,10/21/15,210.09
TSLA,10/22/15,211.72
TSLA,10/23/15,209.09
TSLA,10/26/15,215.26
TSLA,10/27/15,210.35
TSLA,10/28/15,212.96
TSLA,10/29/15,211.63
TSLA,10/30/15,206.93
TSLA,11/2/15,213.79
TSLA,11/3/15,208.35
TSLA,11/4/15,231.63
TSLA,11/5/15,231.77
TSLA,11/6/15,232.36
TSLA,11/9/15,225.33
TSLA,11/10/15,216.5
TSLA,11/11/15,219.08
TSLA,11/12/15,212.94
TSLA,11/13/15,207.19
TSLA,11/16/15,214.31
TSLA,11/17/15,214
TSLA,11/18/15,221.07
TSLA,11/19/15,221.8
TSLA,11/20/15,220.01
TSLA,11/23/15,217.75
TSLA,11/24/15,218.25
TSLA,11/25/15,229.64
TSLA,11/27/15,231.61
TSLA,11/30/15,230.26
TSLA,12/1/15,237.19
TSLA,12/2/15,231.99
TSLA,12/3/15,232.71
TSLA,12/4/15,230.38
TSLA,12/7/15,231.13
TSLA,12/8/15,226.72
TSLA,12/9/15,224.52
TSLA,12/10/15,227.07
TSLA,12/11/15,217.02
TSLA,12/14/15,218.58
TSLA,12/15/15,221.09
TSLA,12/16/15,234.51
TSLA,12/17/15,233.39
TSLA,12/18/15,230.46
TSLA,12/21/15,232.56
TSLA,12/22/15,229.95
TSLA,12/23/15,229.7
TSLA,12/24/15,230.57
TSLA,12/28/15,228.95
TSLA,12/29/15,237.19
TSLA,12/30/15,238.09
TSLA,12/31/15,240.01
TSLA,1/4/16,223.41
TSLA,1/5/16,223.43
TSLA,1/6/16,219.04
TSLA,1/7/16,215.65
TSLA,1/8/16,211
TSLA,1/11/16,207.85
TSLA,1/12/16,209.97
TSLA,1/13/16,200.31
TSLA,1/14/16,206.18
TSLA,1/15/16,204.99
TSLA,1/19/16,204.72
TSLA,1/20/16,198.7
